Date,Close
23-Apr-19,$2933.68
22-Apr-19,$2907.97
18-Apr-19,$2905.03
17-Apr-19,$2900.45
16-Apr-19,$2907.06
15-Apr-19,$2905.58
12-Apr-19,$2907.41
11-Apr-19,$2888.32
10-Apr-19,$2888.21
9-Apr-19,$2878.20
8-Apr-19,$2895.77
5-Apr-19,$2892.74
4-Apr-19,$2879.39
3-Apr-19,$2873.40
2-Apr-19,$2867.24
1-Apr-19,$2867.19
29-Mar-19,$2834.40
28-Mar-19,$2815.44
27-Mar-19,$2805.37
26-Mar-19,$2818.46
25-Mar-19,$2798.36
22-Mar-19,$2800.71
21-Mar-19,$2854.88
20-Mar-19,$2824.23
19-Mar-19,$2832.57
18-Mar-19,$2832.94
15-Mar-19,$2822.48
14-Mar-19,$2808.48
13-Mar-19,$2810.92
12-Mar-19,$2791.52
11-Mar-19,$2783.30
8-Mar-19,$2743.07
7-Mar-19,$2748.93
6-Mar-19,$2771.45
5-Mar-19,$2789.65
4-Mar-19,$2792.81
1-Mar-19,$2803.69
28-Feb-19,$2784.49
27-Feb-19,$2792.38
26-Feb-19,$2793.90
25-Feb-19,$2796.11
22-Feb-19,$2792.67
21-Feb-19,$2774.88
20-Feb-19,$2784.70
19-Feb-19,$2779.76
15-Feb-19,$2775.60
14-Feb-19,$2745.73
13-Feb-19,$2753.03
12-Feb-19,$2744.73
11-Feb-19,$2709.80
8-Feb-19,$2707.88
7-Feb-19,$2706.05
6-Feb-19,$2731.62
5-Feb-19,$2737.70
4-Feb-19,$2724.87
1-Feb-19,$2706.53
31-Jan-19,$2704.10
30-Jan-19,$2681.05
29-Jan-19,$2640.00
28-Jan-19,$2643.85
25-Jan-19,$2664.76
24-Jan-19,$2642.33
23-Jan-19,$2638.70
22-Jan-19,$2632.90
18-Jan-19,$2670.71
17-Jan-19,$2635.96
16-Jan-19,$2616.10
15-Jan-19,$2610.30
14-Jan-19,$2582.61
11-Jan-19,$2596.26
10-Jan-19,$2596.64
9-Jan-19,$2584.96
8-Jan-19,$2574.41
7-Jan-19,$2549.69
4-Jan-19,$2531.94
3-Jan-19,$2447.89
2-Jan-19,$2510.03
31-Dec-18,$2506.85
28-Dec-18,$2485.74
27-Dec-18,$2488.83
26-Dec-18,$2467.70
24-Dec-18,$2351.10
21-Dec-18,$2416.62
20-Dec-18,$2467.42
19-Dec-18,$2506.96
18-Dec-18,$2546.16
17-Dec-18,$2545.94
14-Dec-18,$2599.95
13-Dec-18,$2650.54
12-Dec-18,$2651.07
11-Dec-18,$2636.78
10-Dec-18,$2637.72
7-Dec-18,$2633.08
6-Dec-18,$2695.95
4-Dec-18,$2700.06
3-Dec-18,$2790.37
30-Nov-18,$2760.17
29-Nov-18,$2737.76
28-Nov-18,$2743.79
27-Nov-18,$2682.17
26-Nov-18,$2673.45
23-Nov-18,$2632.56
21-Nov-18,$2649.93
20-Nov-18,$2641.89
19-Nov-18,$2690.73
16-Nov-18,$2736.27
15-Nov-18,$2730.20
14-Nov-18,$2701.58
13-Nov-18,$2722.18
12-Nov-18,$2726.22
9-Nov-18,$2781.01
8-Nov-18,$2806.83
7-Nov-18,$2813.89
6-Nov-18,$2755.45
5-Nov-18,$2738.31
2-Nov-18,$2723.06
1-Nov-18,$2740.37
31-Oct-18,$2711.74
30-Oct-18,$2682.63
29-Oct-18,$2641.25
26-Oct-18,$2658.69
25-Oct-18,$2705.57
24-Oct-18,$2656.10
23-Oct-18,$2740.69
22-Oct-18,$2755.88
19-Oct-18,$2767.78
18-Oct-18,$2768.78
17-Oct-18,$2809.21
16-Oct-18,$2809.92
15-Oct-18,$2750.79
12-Oct-18,$2767.13
11-Oct-18,$2728.37
10-Oct-18,$2785.68
9-Oct-18,$2880.34
8-Oct-18,$2884.43
5-Oct-18,$2885.57
4-Oct-18,$2901.61
3-Oct-18,$2925.51
2-Oct-18,$2923.43
1-Oct-18,$2924.59
28-Sep-18,$2913.98
27-Sep-18,$2914.00
26-Sep-18,$2905.97
25-Sep-18,$2915.56
24-Sep-18,$2919.37
21-Sep-18,$2929.67
20-Sep-18,$2930.75
19-Sep-18,$2907.95
18-Sep-18,$2904.31
17-Sep-18,$2888.80
14-Sep-18,$2904.98
13-Sep-18,$2904.18
12-Sep-18,$2888.92
11-Sep-18,$2887.89
10-Sep-18,$2877.13
7-Sep-18,$2871.68
6-Sep-18,$2878.05
5-Sep-18,$2888.60
4-Sep-18,$2896.72
31-Aug-18,$2901.52
30-Aug-18,$2901.13
29-Aug-18,$2914.04
28-Aug-18,$2897.52
27-Aug-18,$2896.74
24-Aug-18,$2874.69
23-Aug-18,$2856.98
22-Aug-18,$2861.82
21-Aug-18,$2862.96
20-Aug-18,$2857.05
17-Aug-18,$2850.13
16-Aug-18,$2840.69
15-Aug-18,$2818.37
14-Aug-18,$2839.96
13-Aug-18,$2821.93
10-Aug-18,$2833.28
9-Aug-18,$2853.58
8-Aug-18,$2857.70
7-Aug-18,$2858.45
6-Aug-18,$2850.40
3-Aug-18,$2840.35
2-Aug-18,$2827.22
1-Aug-18,$2813.37
31-Jul-18,$2816.29
30-Jul-18,$2802.60
27-Jul-18,$2818.82
26-Jul-18,$2837.44
25-Jul-18,$2846.07
24-Jul-18,$2820.40
23-Jul-18,$2806.98
20-Jul-18,$2801.83
19-Jul-18,$2804.49
18-Jul-18,$2815.62
17-Jul-18,$2809.55
16-Jul-18,$2798.43
13-Jul-18,$2801.31
12-Jul-18,$2798.29
11-Jul-18,$2774.02
10-Jul-18,$2793.84
9-Jul-18,$2784.17
6-Jul-18,$2759.82
5-Jul-18,$2736.61
3-Jul-18,$2713.22
2-Jul-18,$2726.71
29-Jun-18,$2718.37
28-Jun-18,$2716.31
27-Jun-18,$2699.63
26-Jun-18,$2723.06
25-Jun-18,$2717.07
22-Jun-18,$2754.88
21-Jun-18,$2749.76
20-Jun-18,$2767.32
19-Jun-18,$2762.59
18-Jun-18,$2773.75
15-Jun-18,$2779.66
14-Jun-18,$2782.49
13-Jun-18,$2775.63
12-Jun-18,$2786.85
11-Jun-18,$2782.00
8-Jun-18,$2779.03
7-Jun-18,$2770.37
6-Jun-18,$2772.35
5-Jun-18,$2748.80
4-Jun-18,$2746.87
1-Jun-18,$2734.62
31-May-18,$2705.27
30-May-18,$2724.01
29-May-18,$2689.86
25-May-18,$2721.33
24-May-18,$2727.76
23-May-18,$2733.29
22-May-18,$2724.44
21-May-18,$2733.01
18-May-18,$2712.97
17-May-18,$2720.13
16-May-18,$2722.46
15-May-18,$2711.45
14-May-18,$2730.13
11-May-18,$2727.72
10-May-18,$2723.07
9-May-18,$2697.79
8-May-18,$2671.92
7-May-18,$2672.63
4-May-18,$2663.42
3-May-18,$2629.73
2-May-18,$2635.67
1-May-18,$2654.80
30-Apr-18,$2648.05
27-Apr-18,$2669.91
26-Apr-18,$2666.94
25-Apr-18,$2639.40
24-Apr-18,$2634.56
23-Apr-18,$2670.29
20-Apr-18,$2670.14
19-Apr-18,$2693.13
18-Apr-18,$2708.64
17-Apr-18,$2706.39
16-Apr-18,$2677.84
13-Apr-18,$2656.30
12-Apr-18,$2663.99
11-Apr-18,$2642.19
10-Apr-18,$2656.87
9-Apr-18,$2613.16
6-Apr-18,$2604.47
5-Apr-18,$2662.84
4-Apr-18,$2644.69
3-Apr-18,$2614.45
2-Apr-18,$2581.88
29-Mar-18,$2640.87
28-Mar-18,$2605.00
27-Mar-18,$2612.62
26-Mar-18,$2658.55
23-Mar-18,$2588.26
22-Mar-18,$2643.69
21-Mar-18,$2711.93
20-Mar-18,$2716.94
19-Mar-18,$2712.92
16-Mar-18,$2752.01
15-Mar-18,$2747.33
14-Mar-18,$2749.48
13-Mar-18,$2765.31
12-Mar-18,$2783.02
9-Mar-18,$2786.57
8-Mar-18,$2738.97
7-Mar-18,$2726.80
6-Mar-18,$2728.12
5-Mar-18,$2720.94
2-Mar-18,$2691.25
1-Mar-18,$2677.67
28-Feb-18,$2713.83
27-Feb-18,$2744.28
26-Feb-18,$2779.60
23-Feb-18,$2747.30
22-Feb-18,$2703.96
21-Feb-18,$2701.33
20-Feb-18,$2716.26
16-Feb-18,$2732.22
15-Feb-18,$2731.20
14-Feb-18,$2698.63
13-Feb-18,$2662.94
12-Feb-18,$2656.00
9-Feb-18,$2619.55
8-Feb-18,$2581.00
7-Feb-18,$2681.66
6-Feb-18,$2695.14
5-Feb-18,$2648.94
2-Feb-18,$2762.13
1-Feb-18,$2821.98
31-Jan-18,$2823.81
