"Symbol","Trade DATE","NOCP"
"AAPL","5/9/2019","200.720000000000"
"AAPL","5/8/2019","202.900000000000"
"AAPL","5/7/2019","202.860000000000"
"AAPL","5/6/2019","208.480000000000"
"AAPL","5/3/2019","211.750000000000"
"AAPL","5/2/2019","209.150000000000"
"AAPL","5/1/2019","210.520000000000"
"AAPL","4/30/2019","200.670000000000"
"AAPL","4/29/2019","204.610000000000"
"AAPL","4/26/2019","204.300000000000"
"AAPL","4/25/2019","205.280000000000"
"AAPL","4/24/2019","207.160000000000"
"AAPL","4/23/2019","207.480000000000"
"AAPL","4/22/2019","204.530000000000"
"AAPL","4/18/2019","203.860000000000"
"AAPL","4/17/2019","203.130000000000"
"AAPL","4/16/2019","199.250000000000"
"AAPL","4/15/2019","199.230000000000"
"AAPL","4/12/2019","198.870000000000"
"AAPL","4/11/2019","198.950000000000"
"AAPL","4/10/2019","200.620000000000"
"AAPL","4/9/2019","199.500000000000"
"AAPL","4/8/2019","200.100000000000"
"AAPL","4/5/2019","197.000000000000"
"AAPL","4/4/2019","195.690000000000"
"AAPL","4/3/2019","195.350000000000"
"AAPL","4/2/2019","194.020000000000"
"AAPL","4/1/2019","191.240000000000"
"AAPL","3/29/2019","189.950000000000"
"AAPL","3/28/2019","188.720000000000"
"AAPL","3/27/2019","188.470000000000"
"AAPL","3/26/2019","186.790000000000"
"AAPL","3/25/2019","188.740000000000"
"AAPL","3/22/2019","191.050000000000"
"AAPL","3/21/2019","195.090000000000"
"AAPL","3/20/2019","188.160000000000"
"AAPL","3/19/2019","186.530000000000"
"AAPL","3/18/2019","188.020000000000"
"AAPL","3/15/2019","186.120000000000"
"AAPL","3/14/2019","183.730000000000"
"AAPL","3/13/2019","181.710000000000"
"AAPL","3/12/2019","180.910000000000"
"AAPL","3/11/2019","178.900000000000"
"AAPL","3/8/2019","172.910000000000"
"AAPL","3/7/2019","172.500000000000"
"AAPL","3/6/2019","174.520000000000"
"AAPL","3/5/2019","175.530000000000"
"AAPL","3/4/2019","175.850000000000"
"AAPL","3/1/2019","174.970000000000"
"AAPL","2/28/2019","173.150000000000"
"AAPL","2/27/2019","174.870000000000"
"AAPL","2/26/2019","174.330000000000"
"AAPL","2/25/2019","174.230000000000"
"AAPL","2/22/2019","172.970000000000"
"AAPL","2/21/2019","171.060000000000"
"AAPL","2/20/2019","172.030000000000"
"AAPL","2/19/2019","170.930000000000"
"AAPL","2/15/2019","170.420000000000"
"AAPL","2/14/2019","170.800000000000"
"AAPL","2/13/2019","170.180000000000"
"AAPL","2/12/2019","170.890000000000"
"AAPL","2/11/2019","169.430000000000"
"AAPL","2/8/2019","170.410000000000"
"AAPL","2/7/2019","170.940000000000"
"AAPL","2/6/2019","174.240000000000"
"AAPL","2/5/2019","174.180000000000"
"AAPL","2/4/2019","171.250000000000"
"AAPL","2/1/2019","166.520000000000"
"AAPL","1/31/2019","166.440000000000"
"AAPL","1/30/2019","165.250000000000"
"AAPL","1/29/2019","154.680000000000"
"AAPL","1/28/2019","156.300000000000"
"AAPL","1/25/2019","157.760000000000"
"AAPL","1/24/2019","152.700000000000"
"AAPL","1/23/2019","153.920000000000"
"AAPL","1/22/2019","153.300000000000"
"AAPL","1/18/2019","156.820000000000"
"AAPL","1/17/2019","155.860000000000"
"AAPL","1/16/2019","154.940000000000"
